"AREA TERRITORIAL";"CODIGO CENTRO";"TIPO DE CENTRO";"CENTRO";"DOMICILIO";"MUNICIPIO";"DISTRITO MUNICIPAL";"COD. POSTAL";"TELEFONO";"FAX";"TITULARIDAD";"NOMBRE";
"Madrid-Capital";28005039;"CP INF-PRI";"ANTONIO MACHADO";"Calle De Allariz, 3 ";"Madrid";"Carabanchel";28044;915088661;914006788;"Público";"ANTONIO MACHADO";"OK"
"Madrid-Capital";28010874;"CP INF-PRI";"ANTONIO MORENO ROSALES";"Calle Del Olmo, 4 ";"Madrid";"Centro";28012;915390646;915390646;"Público";"ANTONIO MORENO ROSALES";"OK"
"Madrid-Capital";28033941;"CP INF-PRI";"ARAGON";"Avenida De Rafael Alberti, 2 ";"Madrid";"Puente de Vallecas";28038;913039852;913806367;"Público";"ARAGON";"OK"
"Madrid-Capital";28010424;"CP INF-PRI";"ARAVACA";"Calle Del Estudio, 6 ";"Madrid";"Moncloa-Aravaca";28023;913078119;913071832;"Público";"ARAVACA";"OK"
"Madrid-Capital";28006469;"CP INF-PRI";"ARCIPRESTE DE HITA";"Calle De Antonio Moreno, 25 ";"Madrid";"Carabanchel";28025;915605495;914605635;"Público";"ARCIPRESTE DE HITA";"OK"
"Madrid-Capital";28021124;"CP INF-PRI";"ARQUITECTO GAUDI";"Calle De Rosa Jardón, 10 ";"Madrid";"Chamartín";28016;913506564;913506564;"Público";"ARQUITECTO GAUDI";"OK"
"Madrid-Capital";28035524;"CP INF-PRI";"ASTURIAS";"Calle De Los Asturianos, 2 ";"Madrid";"Puente de Vallecas";28018;917770635;917850680;"Público";"ASTURIAS";"OK"
"Madrid-Capital";28071383;"CP INF-PRI";"AUSIAS MARCH";"Calle De La Estefanita, 9 ";"Madrid";"Villaverde";28021;917109916;917964694;"Público";"AUSIAS MARCH";"OK"
"Madrid-Capital";28005091;"CP INF-PRI";"AZORIN";"Calle De Godella, 57 ";"Madrid";"Villaverde";28021;917975733;917231639;"Público";"AZORIN";"OK"
"Madrid-Capital";28005106;"CP INF-PRI";"BARCELONA";"Avenida De La Verbena De La Paloma, 14 ";"Madrid";"Villaverde";28041;913603078;913179568;"Público";"BARCELONA";"OK"
"Madrid-Capital";28075777;"CP INF-PRI";"BLAS DE LEZO";"Calle De Fromista, 27 ";"Madrid";"Fuencarral-El Pardo";28050;912761564;917031658;"Público";"BLAS DE LEZO";"OK"
"Madrid-Capital";28035512;"CP INF-PRI";"BLAS DE OTERO";"Calle De Puentelarra, 34 ";"Madrid";"Villa de Vallecas";28031;913311550;913310535;"Público";"BLAS DE OTERO";"OK"
"Madrid-Capital";28005155;"CP INF-PRI";"BOLIVIA";"Calle De Villavaliente, 29 ";"Madrid";"Latina";28011;914649989;914649989;"Público";"BOLIVIA";"OK"
"Madrid-Capital";28021331;"CP INF-PRI";"BRAVO MURILLO";"Calle De Las Islas Cíes, 11 ";"Madrid";"Fuencarral-El Pardo";28035;917385793;917385793;"Público";"BRAVO MURILLO";"OK"
"Madrid-Capital";28031063;"CP INF-PRI";"BREOGAN";"Calle De Ginzo De Limia, 2 ";"Madrid";"Fuencarral-El Pardo";28029;917304040;917396184;"Público";"BREOGAN";"OK"
"Madrid-Capital";28037201;"CP INF-PRI";"CALDERON DE LA BARCA";"Calle De Calderón, 2 ";"Madrid";"Barajas";28042;917472465;917473130;"Público";"CALDERON DE LA BARCA";"OK"
"Madrid-Capital";28041755;"CP INF-PRI";"CAMILO JOSE CELA";"Calle De Melchor Fernández Almagro, 22 ";"Madrid";"Fuencarral-El Pardo";28029;917392424;913781507;"Público";"CAMILO JOSE CELA";"OK"
"Madrid-Capital";28005179;"CP INF-PRI";"CAPITAN CORTES";"Calle De Monseñor Oscar Romero, 17 ";"Madrid";"Carabanchel";28025;914628662;914619130;"Público";"CAPITAN CORTES";"OK"
"Madrid-Capital";28030198;"CP INF-PRI";"CARDENAL HERRERA ORIA";"Calle De Fermín Caballero, 68 ";"Madrid";"Fuencarral-El Pardo";28034;913781613;917385711;"Público";"CARDENAL HERRERA ORIA";"OK"
"Madrid-Capital";28020661;"CP INF-PRI";"CARLOS SAINZ DE LOS TERREROS";"Calle De Cartama, 1 ";"Madrid";"Puente de Vallecas";28018;917783885;917774420;"Público";"CARLOS SAINZ DE LOS TERREROS";"OK"
"Madrid-Capital";28010461;"CP INF-PRI";"CARLOS V";"Calle De La Virgen Del Val, 3 ";"Madrid";"Ciudad Lineal";28027;914041481;914052705;"Público";"CARLOS V";"OK"
"Madrid-Capital";28010473;"CP INF-PRI";"CARMEN CABEZUELO";"Calle De Cangas De Onís, 7 ";"Madrid";"San Blas-Canillejas";28037;913040117;913049991;"Público";"CARMEN CABEZUELO";"OK"
"Madrid-Capital";28071826;"CP INF-PRI";"CARMEN LAFORET";"Calle De Omega, 60 ";"Madrid";"Vicálvaro";28032;917760141;917604734;"Público";"CARMEN LAFORET";"OK"
"Madrid-Capital";28005210;"CP INF-PRI";"CERVANTES";"Calle De Raimundo Fernández Villaverde, 4 ";"Madrid";"Chamberí";28003;915330837;915330837;"Público";"CERVANTES";"OK"
"Madrid-Capital";28019439;"CP INF-PRI";"CIUDAD DE BADAJOZ";"Calle De Fray José Cerdeiriña, 51 ";"Madrid";"Latina";28024;917065611;917107103;"Público";"CIUDAD DE BADAJOZ";"OK"
"Madrid-Capital";28011684;"CP INF-PRI";"CIUDAD DE CORDOBA";"Calle De Lillo, 1 ";"Madrid";"Villaverde";28041;913172417;913179827;"Público";"CIUDAD DE CORDOBA";"OK"
"Madrid-Capital";28018502;"CP INF-PRI";"CIUDAD DE GUADALAJARA";"Calle Del Bergantín, 13 ";"Madrid";"Barajas";28042;917470938;917472064;"Público";"CIUDAD DE GUADALAJARA";"OK"
"Madrid-Capital";28004904;"CP INF-PRI";"CIUDAD DE JAEN";"Calle De La Madre Rosa Blanco_, 3 ";"Madrid";"Usera";28041;913174313;913171644;"Público";"CIUDAD DE JAEN";"OK"
"Madrid-Capital";28005234;"CP INF-PRI";"CIUDAD DE LOS ANGELES";"Calle De La Alegría De La Huerta, 6 ";"Madrid";"Villaverde";28041;917954993;915050434;"Público";"CIUDAD DE LOS ANGELES";"OK"
"Madrid-Capital";28031087;"CP INF-PRI";"CIUDAD DE ROMA";"Calle De Juan Esplandiu, 2 ";"Madrid";"Retiro";28007;915743897;915041695;"Público";"CIUDAD DE ROMA";"OK"
"Madrid-Capital";28020673;"CP INF-PRI";"CIUDAD DE VALENCIA";"Avenida Del Mediterráneo, Km 9 ";"Madrid";"Villa de Vallecas";28031;913310805;913312548;"Público";"CIUDAD DE VALENCIA";"OK"
"Madrid-Capital";28018708;"CP INF-PRI";"CIUDAD DE ZARAGOZA";"Calle De Manuel Aguilar Muñoz, 1 ";"Madrid";"Barajas";28042;913293756;912406061;"Público";"CIUDAD DE ZARAGOZA";"OK"
"Madrid-Capital";28005246;"CP INF-PRI";"CIUDAD PEGASO";"Avenida Séptima, 12 ";"Madrid";"San Blas-Canillejas";28022;917412017;917436218;"Público";"CIUDAD PEGASO";"OK"
"Madrid-Capital";28005258;"CP INF-PRI";"CLAUDIO MOYANO";"Calle De Cea Bermúdez, 26 ";"Madrid";"Chamberí";28003;915335718;915345924;"Público";"CLAUDIO MOYANO";"OK"
"Madrid-Capital";28033928;"CP INF-PRI";"COMPLEJO ESCOLAR PRINCIPE FELIPE";"Avenida De Monforte De Lemos, 24 ";"Madrid";"Fuencarral-El Pardo";28029;913146819;913232548;"Público";"COMPLEJO ESCOLAR PRINCIPE FELIPE";"OK"
"Madrid-Capital";28010497;"CP INF-PRI";"CONCEPCION ARENAL";"Calle De Antonio López, 1 ";"Madrid";"Carabanchel";28019;915652702;915650097;"Público";;"Colegio no incluido en BBDD de Ayuntamiento"
"Madrid-Capital";28021318;"CP INF-PRI";"CONCHA ESPINA";"Calle De Gerardo Diego, 6 ";"Madrid";"Puente de Vallecas";28018;917781461;917772584;"Público";"CONCHA ESPINA";"OK"
"Madrid-Capital";28005261;"CP INF-PRI";"CONDE DE ROMANONES";"Calle Del Elfo, 143 ";"Madrid";"Ciudad Lineal";28027;913673655;914080947;"Público";"CONDE DE ROMANONES";"OK"
"Madrid-Capital";28072995;"CP INF-PRI";"CORTES DE CADIZ";"Avenida De Niceto Alcalá Zamora C/v Isabel De Valois, S/n ";"Madrid";"Hortaleza";28050;911727223;911720746;"Público";"CORTES DE CADIZ";"OK"
"Madrid-Capital";28010527;"CP INF-PRI";"COSTA RICA";"Calle De Camarena, 247 ";"Madrid";"Latina";28047;917171601;917171601;"Público";"COSTA RICA";"OK"
"Madrid-Capital";28005271;"CP INF-PRI";"CRISTOBAL COLON";"Carretera De Carabanchel A Villaverde, 109 ";"Madrid";"Villaverde";28041;917973312;917973312;"Público";"CRISTOBAL COLON";"OK"
"Madrid-Capital";28010539;"CP INF-PRI";"CUBA";"Calle De Tembleque, 58 ";"Madrid";"Latina";28024;915187564;915180170;"Público";"CUBA";"OK"
"Madrid-Capital";28004266;"CP INF-PRI";"DAMASO ALONSO";"Avenida De Espinela, 1 ";"Madrid";"Villaverde";28021;917970620;917970620;"Público";"DAMASO ALONSO";"OK"
"Madrid-Capital";28021446;"CP INF-PRI";"DANIEL VAZQUEZ DIAZ";"Calle De Armenteros, 46 ";"Madrid";"Moncloa-Aravaca";28039;914505842;913117764;"Público";"DANIEL VAZQUEZ DIAZ";"OK"
"Madrid-Capital";28005076;"CP INF-PRI";"DE PRACTICAS ASUNCION RINCON";"Avenida De Filipinas, 5 ";"Madrid";"Chamberí";28003;915542118;915345120;"Público";"ASUNCION RINCON";"Colegio incluido en BBDD de Ayuntamiento con otro nombre"
"Madrid-Capital";28028854;"CP INF-PRI";"DIONISIO RIDRUEJO";"Calle De Zipaquira, 14 ";"Madrid";"Hortaleza";28033;917639188;917639188;"Público";"DIONISIO RIDRUEJO";"OK"
"Madrid-Capital";28010503;"CP INF-PRI";"DOCTOR CONDE ARRUGA";"Calle De Hacienda De Pavones, 105 ";"Madrid";"Moratalaz";28030;917732393;917737286;"Público";"DOCTOR CONDE ARRUGA";"OK"
"Madrid-Capital";28010552;"CP INF-PRI";"DOCTOR FEDERICO RUBIO";"Avenida Del Doctor Federico Rubio Y Galí, 53 ";"Madrid";"Tetuán";28039;914502091;914595006;"Público";"DOCTOR FEDERICO RUBIO";"OK"
"Madrid-Capital";28021422;"CP INF-PRI";"DOCTOR SEVERO OCHOA";"Calle De Ezcaray, 3 ";"Madrid";"Vicálvaro";28032;917752715;917750711;"Público";"DOCTOR SEVERO OCHOA";"OK"
"Madrid-Capital";28018459;"CP INF-PRI";"DOCTOR TOLOSA LATOUR";"Calle De Los Asturianos, 4 ";"Madrid";"Puente de Vallecas";28018;917784794;917777679;"Público";"DOCTOR TOLOSA LATOUR";"OK"
"Madrid-Capital";28005933;"CP INF-PRI";"EDUARDO ROJO";"Calle De Eduardo Rojo, 2 ";"Madrid";"Puente de Vallecas";28018;914774560;914784525;"Público";"EDUARDO ROJO";"OK"
"Madrid-Capital";28039360;"CP INF-PRI";"EE.UU. DE AMERICA-HUARTE DE SAN JUAN";"Paseo Del Comandante Fortea, 71 ";"Madrid";"Moncloa-Aravaca";28008;915418978;915594699;"Público";"EEUU - HUARTE DE SAN JUAN";"Colegio incluido en BBDD de Ayuntamiento con otro nombre"
"Madrid-Capital";28044434;"CP INF-PRI";"EL ESPINILLO";"Calle De La Unanimidad, 1 ";"Madrid";"Villaverde";28041;917237434;913180790;"Público";"EL ESPINILLO";"OK"
"Madrid-Capital";28060221;"CP INF-PRI";"EL GRECO";"Calle De La Estefanita, 7 ";"Madrid";"Villaverde";28021;917100008;917983281;"Público";"EL GRECO";"OK"
"Madrid-Capital";28038331;"CP INF-PRI";"EL MADROÑO";"Calle De Las Las Marismas, 14 ";"Madrid";"Puente de Vallecas";28038;915014668;915013612;"Público";"EL MADROÑO";"OK"
"Madrid-Capital";28042796;"CP INF-PRI";"EL QUIJOTE";"Calle De Fuentidueña, 4 ";"Madrid";"Villa de Vallecas";28031;913800214;913800246;"Público";"EL QUIJOTE";"OK"
"Madrid-Capital";28057015;"CP INF-PRI";"EL SOL";"Avenida De Canillejas A Vicálvaro, 82 ";"Madrid";"San Blas-Canillejas";28022;913060345;913060347;"Público";"EL SOL";"OK"
"Madrid-Capital";28005349;"CP INF-PRI";"EMILIA PARDO BAZAN";"Calle Del Ventorrillo, 14 ";"Madrid";"Centro";28005;915306059;915275184;"Público";"EMILIA PARDO BAZAN";"OK"
"Madrid-Capital";28010576;"CP INF-PRI";"ERMITA DEL SANTO";"Paseo De La Ermita Del Santo, 18 ";"Madrid";"Latina";28011;914642590;914642590;"Público";"ERMITA DEL SANTO";"OK"
"Madrid-Capital";28004965;"CP INF-PRI";"ESCUELAS AGUIRRE";"Calle De Pío Baroja, 4 ";"Madrid";"Retiro";28009;915741864;915044683;"Público";"ESCUELAS AGUIRRE";"OK"
"Madrid-Capital";28005167;"CP INF-PRI";"ESCUELAS BOSQUE";"Avenida De Santo Ángel De La Guarda, 4 ";"Madrid";"Moncloa-Aravaca";28039;914505060;914590557;"Público";"ESCUELAS BOSQUE";"OK"
"Madrid-Capital";28021409;"CP INF-PRI";"ESPERANZA";"Calle De Andorra, 12 ";"Madrid";"Hortaleza";28043;913003012;913003012;"Público";"ESPERANZA";"OK"
"Madrid-Capital";28032791;"CP INF-PRI";"EUGENIO MARIA DE HOSTOS";"Calle De Valdevarnés, 26 ";"Madrid";"Moncloa-Aravaca";28039;913736366;913866937;"Público";"EUGENIO MARIA DE HOSTOS";"OK"
"Madrid-Capital";28010591;"CP INF-PRI";"FELIPE II";"Calle Vía Límite, 12 ";"Madrid";"Tetuán";28029;913157353;917339393;"Público";"FELIPE II";"OK"
"Madrid-Capital";28010606;"CP INF-PRI";"FERNANDEZ MORATIN";"Avenida De Valladolid, 2 ";"Madrid";"Moncloa-Aravaca";28008;915479787;915596791;"Público";"FERNANDEZ DE MORATIN";"Colegio incluido en BBDD de Ayuntamiento con otro nombre"
"Madrid-Capital";28010618;"CP INF-PRI";"FERNANDO EL CATOLICO";"Calle De Fernando El Católico, 16 ";"Madrid";"Chamberí";28015;914442902;914469251;"Público";"FERNANDO EL CATOLICO";"OK"
"Madrid-Capital";28021291;"CP INF-PRI";"FILOSOFO SENECA";"Calle De Santa Adela, 21 ";"Madrid";"Hortaleza";28033;917638145;913817216;"Público";"FILOSOFO SENECA";"OK"
"Madrid-Capital";28026006;"CP INF-PRI";"FONTARRON";"Calle Del Arroyo Fontarrón, 24 ";"Madrid";"Moratalaz";28030;917720378;913050045;"Público";"FONTARRON";"OK"
"Madrid-Capital";28019397;"CP INF-PRI";"FRANCISCO ARRANZ";"Calle De Sondica, 2 ";"Madrid";"Latina";28044;917066882;917066882;"Público";"FRANCISCO ARRANZ";"OK"
"Madrid-Capital";28010680;"CP INF-PRI";"FRANCISCO DE GOYA";"Calle De Antillón, 23 ";"Madrid";"Latina";28011;914637472;914633270;"Público";"FRANCISCO DE GOYA";"OK"
"Madrid-Capital";28010643;"CP INF-PRI";"FRANCISCO DE LUIS";"Calle Del Corregidor Rodrigo Rodríguez, 5 ";"Madrid";"Moratalaz";28030;914394600;913284275;"Público";"FRANCISCO DE LUIS";"OK"
"Madrid-Capital";28005374;"CP INF-PRI";"FRANCISCO DE QUEVEDO";"Calle De Granada, 16 ";"Madrid";"Retiro";28007;915515211;914333827;"Público";"FRANCISCO DE QUEVEDO";"OK"
"Madrid-Capital";28005350;"CP INF-PRI";"FRANCISCO FATOU";"Camino De La Suerte, 23 ";"Madrid";"Villa de Vallecas";28031;913321050;913323222;"Público";"FRANCISCO FATOU";"OK"
"Madrid-Capital";28005386;"CP INF-PRI";"FRANCISCO RUANO";"Calle De Almuradiel, 150 ";"Madrid";"Puente de Vallecas";28053;917862196;917862196;"Público";"FRANCISCO RUANO";"OK"
"Madrid-Capital";28005404;"CP INF-PRI";"FRAY JUNIPERO SERRA";"Camino De Valderribas, 120 ";"Madrid";"Puente de Vallecas";28038;914304882;914376926;"Público";"FRAY JUNIPERO SERRA";"OK"
"Madrid-Capital";28063775;"CP INF-PRI";"GABRIELA MISTRAL";"Calle De Mirallos, 3 ";"Madrid";"Fuencarral-El Pardo";28050;913586549;913586557;"Público";"GABRIELA MISTRAL";"OK"
"Madrid-Capital";28031804;"CP INF-PRI";"GANDHI";"Calle De Gandhi, 10 ";"Madrid";"Ciudad Lineal";28017;917544592;913045222;"Público";"GANDHI";"OK"
"Madrid-Capital";28010655;"CP INF-PRI";"GARCIA MORENTE";"Ronda Sur, 229 ";"Madrid";"Puente de Vallecas";28053;917852016;917856013;"Público";"GARCIA MORENTE";"OK"
"Madrid-Capital";28037648;"CP INF-PRI";"GARCILASO DE LA VEGA";"Calle De Trefacio, 18 ";"Madrid";"Hortaleza";28043;913882060;917161701;"Público";"GARCILASO DE LA VEGA";"OK"
"Madrid-Capital";28026547;"CP INF-PRI";"GINER DE LOS RIOS";"Calle De Membezar, 25 ";"Madrid";"Puente de Vallecas";28053;917858021;917858021;"Público";"GINER DE LOS RIOS";"OK"
"Madrid-Capital";28035536;"CP INF-PRI";"GLORIA FUERTES";"Calle Del Censo, 3 ";"Madrid";"Usera";28041;913412180;913410018;"Público";"GLORIA FUERTES";"OK"
"Madrid-Capital";28006111;"CP INF-PRI";"GONZALO DE BERCEO";"Avenida De Abrantes, 5 ";"Madrid";"Carabanchel";28025;915697225;914692174;"Público";"GONZALO DE BERCEO";"OK"
"Madrid-Capital";28005441;"CP INF-PRI";"GONZALO FERNANDEZ DE CORDOBA";"Calle De Adanero, 3 ";"Madrid";"Latina";28024;917113625;917113735;"Público";"GONZALO FERNANDEZ DE CORDOBA";"OK"
"Madrid-Capital";28049365;"CP INF-PRI";"GUINDALERA";"Calle De Bóston, 1 ";"Madrid";"Salamanca";28028;917252437;917255776;"Público";"GUINDALERA";"OK"
"Madrid-Capital";28005465;"CP INF-PRI";"GUSTAVO ADOLFO BECQUER";"Calle De Santa Genoveva, 32 ";"Madrid";"Ciudad Lineal";28017;914051507;914053498;"Público";"GUSTAVO ADOLFO BECQUER";"OK"
"Madrid-Capital";28005477;"CP INF-PRI";"HAITI";"Calle De Guabairo, 22 ";"Madrid";"Carabanchel";28047;914220250;914651108;"Público";"HAITI";"OK"
"Madrid-Capital";28005489;"CP INF-PRI";"HERMANOS PINZON";"Calle Del Azor, 4 ";"Madrid";"Latina";28024;915186040;915186040;"Público";"HERMANOS PINZON";"OK"
"Madrid-Capital";28005490;"CP INF-PRI";"HERNAN CORTES";"Calle De Los Yébenes, 241 ";"Madrid";"Latina";28047;917176844;917180472;"Público";"HERNAN CORTES";"OK"
"Madrid-Capital";28005519;"CP INF-PRI";"HONDURAS";"Paseo De Federico García Lorca, 19 ";"Madrid";"Villa de Vallecas";28031;913325719;913325719;"Público";"HONDURAS";"OK"
"Madrid-Capital";28040106;"CP INF-PRI";"HORTALEZA";"Calle De Valdetorres De Jarama, 1 ";"Madrid";"Hortaleza";28033;917642900;913816099;"Público";"HORTALEZA";"OK"
"Madrid-Capital";28025971;"CP INF-PRI";"IGNACIO ZULOAGA";"Calle De Alejandro Rodríguez, 34 ";"Madrid";"Tetuán";28039;914509620;913980080;"Público";"IGNACIO ZULOAGA";"OK"
"Madrid-Capital";28063787;"CP INF-PRI";"INFANTA LEONOR";"Calle Monasterio De El Paular, 140 ";"Madrid";"Fuencarral-El Pardo";28049;917508788;917508847;"Público";"INFANTA LEONOR";"OK"
"Madrid-Capital";28004552;"CP INF-PRI";"ISAAC ALBENIZ";"Calle De La Drácena, 29 ";"Madrid";"Chamartín";28016;913596972;913596972;"Público";"ISAAC ALBENIZ";"OK"
"Madrid-Capital";28005568;"CP INF-PRI";"ISAAC PERAL";"Glorieta De Rufino Novalvos, 5 ";"Madrid";"Carabanchel";28025;914726780;914726780;"Público";"ISAAC PERAL";"OK"
"Madrid-Capital";28010710;"CP INF-PRI";"ISABEL LA CATOLICA";"Calle De Barceló, 2 ";"Madrid";"Centro";28004;915217840;915229393;"Público";"ISABEL LA CATOLICA";"OK"
"Madrid-Capital";28005601;"CP INF-PRI";"JAIME BALMES";"Calle De Sierra De La Solana, 2 ";"Madrid";"Puente de Vallecas";28053;914785884;914771646;"Público";"JAIME BALMES";"OK"
"Madrid-Capital";28050343;"CP INF-PRI";"JAIME VERA";"Calle De Bravo Murillo, 162 ";"Madrid";"Tetuán";28020;915723019;915709453;"Público";"JAIME VERA";"OK"
"Madrid-Capital";28005623;"CP INF-PRI";"JAVIER DE MIGUEL";"Calle Del Puerto De Viñamala, 11 ";"Madrid";"Puente de Vallecas";28018;913035102;913805770;"Público";"JAVIER DE MIGUEL";"OK"
"Madrid-Capital";28010722;"CP INF-PRI";"JOAQUIN COSTA";"Paseo De Pontones, 8 ";"Madrid";"Arganzuela";28005;913653632;913653559;"Público";"JOAQUIN COSTA";"OK"
"Madrid-Capital";28005635;"CP INF-PRI";"JOAQUIN DICENTA";"Paseo Olivos, 70 ";"Madrid";"Latina";28011;914632093;917550696;"Público";"JOAQUIN DICENTA";"OK"
"Madrid-Capital";28021306;"CP INF-PRI";"JOAQUIN TURINA";"Calle De Arturo Soria, 332 ";"Madrid";"Ciudad Lineal";28033;913025556;913022741;"Público";"JOAQUIN TURINA";"OK"
"Madrid-Capital";28021057;"CP INF-PRI";"JORGE GUILLEN";"Avenida De El Ferrol, 47 ";"Madrid";"Fuencarral-El Pardo";28029;917393801;917393801;"Público";"JORGE GUILLEN";"OK"
"Madrid-Capital";28005817;"CP INF-PRI";"JORGE MANRIQUE";"Plaza Del Pintor Lucas, 17 ";"Madrid";"Usera";28026;915656300;915691615;"Público";"JORGE MANRIQUE";"OK"
"Madrid-Capital";28038321;"CP INF-PRI";"JOSE BERGAMIN";"Calle De Braille, 19 ";"Madrid";"Fuencarral-El Pardo";28034;917355560;917345042;"Público";"JOSE BERGAMIN";"OK"
"Madrid-Capital";28010746;"CP INF-PRI";"JOSE CALVO SOTELO";"Avenida De La Ciudad De Barcelona, 83 ";"Madrid";"Retiro";28007;914337125;914336781;"Público";"JOSE CALVO SOTELO";"OK"
"Madrid-Capital";28074256;"CP INF-PRI";"JOSE DE ECHEGARAY";"Calle De Puentedey, 14 ";"Madrid";"Villa de Vallecas";28051;911996781;911996782;"Público";"JOSE DE ECHEGARAY";"OK"
"Madrid-Capital";28005660;"CP INF-PRI";"JOSE MARIA DE PEREDA";"Calle De Mestanza, 94 ";"Madrid";"Puente de Vallecas";28053;915072651;917861787;"Público";"JOSE MARIA DE PEREDA";"OK"
"Madrid-Capital";28021461;"CP INF-PRI";"JOSE ORTEGA Y GASSET";"Calle De Orense, 87 ";"Madrid";"Tetuán";28020;915720997;915701341;"Público";"JOSE ORTEGA Y GASSET";"OK"
"Madrid-Capital";28071361;"CP INF-PRI";"JOSEP TARRADELLAS";"Calle De Triacastela, 1 ";"Madrid";"Fuencarral-El Pardo";28050;914274125;914274161;"Público";"JOSEP TARRADELLAS";"OK"
"Madrid-Capital";28005684;"CP INF-PRI";"JOVELLANOS";"Calle De Monroy, 34 ";"Madrid";"Latina";28044;917055018;915095089;"Público";"JOVELLANOS";"OK"
"Madrid-Capital";28005696;"CP INF-PRI";"JUAN DE LA CIERVA";"Calle De Villarrosa, 7 ";"Madrid";"Villaverde";28041;917230235;917965560;"Público";"JUAN DE LA CIERVA";"OK"
"Madrid-Capital";28026535;"CP INF-PRI";"JUAN GRIS";"Calle De Muela De San Juan, 31 ";"Madrid";"Villa de Vallecas";28031;913327264;913327263;"Público";"JUAN GRIS";"OK"
"Madrid-Capital";28005714;"CP INF-PRI";"JUAN RAMON JIMENEZ";"Calle Del Marqués De Viana, 58 ";"Madrid";"Tetuán";28039;915717512;914250976;"Público";"JUAN RAMON JIMENEZ";"OK"
"Madrid-Capital";28005726;"CP INF-PRI";"JUAN SEBASTIAN ELCANO";"Calle De Mirasierra, 29 ";"Madrid";"Usera";28026;685477556;914768107;"Público";"JUAN SEBASTIAN ELCANO";"OK"
